feature,ic_with_prediction_short,rank_ic_with_prediction_short,ic_with_target_short,rank_ic_with_target_short,n_dates_short,ic_with_prediction_long,rank_ic_with_prediction_long,ic_with_target_long,rank_ic_with_target_long,n_dates_long,rank_ic_diff,abs_rank_ic_short,abs_rank_ic_long
max_drawdown_60d,-0.055599491174560985,-0.10001735745442923,0.007116452594146102,0.011954542644051906,2100,0.09135813705059352,0.09283894200963062,0.023522265920260875,0.04999551972906636,1800,-0.03804097708501445,0.011954542644051906,0.04999551972906636
volatility_60d,-0.269970671980634,-0.28268318563416217,-0.02464942505845888,-0.05086311013886502,2100,-0.3204165927447048,-0.3694116772498472,-0.04564652408620265,-0.08873286841185062,1800,-0.037869758272985596,0.05086311013886502,0.08873286841185062
volatility,-0.3091142655851046,-0.3448545533711376,-0.01252464005085494,-0.0408111154051657,2100,-0.3197798533069647,-0.3885138914711195,-0.043122125878111546,-0.07784911757075397,1800,-0.037038002165588266,0.0408111154051657,0.07784911757075397
volatility_20d,-0.3091142655851046,-0.3448545533711376,-0.01252464005085494,-0.0408111154051657,2100,-0.3197798533069647,-0.3885138914711195,-0.043122125878111546,-0.07784911757075397,1800,-0.037038002165588266,0.0408111154051657,0.07784911757075397
downside_volatility_60d,-0.07681298918281988,-0.07771939228401487,-0.011565691632820603,-0.030176354377116535,2100,-0.14639214945408274,-0.18610390026715018,-0.02349626210633572,-0.060819733568415954,1800,-0.03064337919129942,0.030176354377116535,0.060819733568415954
high,-0.1507962754951527,-0.15776203970982067,-0.01476789421711302,-0.019065338525691044,2100,-0.16743546270211412,-0.14635742676523272,-0.040477415664384495,-0.04906736076441878,1800,-0.03000202223872774,0.019065338525691044,0.04906736076441878
open,-0.14817119029577192,-0.15425141467646217,-0.01465300086444345,-0.01852769918602191,2100,-0.16527275067678787,-0.1435082183049959,-0.0402066089865562,-0.0483970564618789,1800,-0.029869357275856986,0.01852769918602191,0.0483970564618789
close,-0.1524109510509641,-0.16047315442577845,-0.014978820934500429,-0.019822852854314163,2100,-0.16864159930526088,-0.14707282750077078,-0.04030018171839131,-0.049632974195893895,1800,-0.02981012134157973,0.019822852854314163,0.049632974195893895
low,-0.14647132661187892,-0.15301857775113636,-0.014593282217078342,-0.018217672066060793,2100,-0.1635740914604537,-0.14201496420209442,-0.03999972188948591,-0.04785757159333314,1800,-0.029639899527272348,0.018217672066060793,0.04785757159333314
total_liabilities,0.15798846782916123,0.09396314773104099,0.01110867722933698,0.04329043257384698,2100,0.16330592762020524,0.14996540338961403,0.012265385826986505,0.06706785118292342,1800,-0.023777418609076444,0.04329043257384698,0.06706785118292342
roe,-0.07838831758556082,-0.0566520983363653,-0.006521492983539087,-0.0013631747492841941,2100,-0.1169080417833472,-0.07987172604167092,-0.031584943831903065,-0.02409583534990585,1800,-0.022732660600621655,0.0013631747492841941,0.02409583534990585
equity,0.25086571379293987,0.12021532396120738,0.013089970037380196,0.042749366883774,2100,0.38019316226262445,0.2237002242851518,0.01909783162963353,0.06205614369353993,1800,-0.019306776809765926,0.042749366883774,0.06205614369353993
roe_sector_z,-0.07361954696408998,-0.062478862573836044,-0.008858706370296177,-0.0005106873087964901,2100,-0.10197561364662286,-0.06569889323479013,-0.037903246447141374,-0.018158164782884352,1800,-0.01764747747408786,0.0005106873087964901,0.018158164782884352
volume,0.0641814986333216,-0.019714351535547982,0.006328147497259815,0.01576124076589117,2100,0.26243927663625544,0.09887809022976242,0.007220384927970867,0.030170817620815162,1800,-0.014409576854923993,0.01576124076589117,0.030170817620815162
price_momentum,-0.4081200911841502,-0.5132538012364953,-0.017837880434870067,-0.036027537782210475,2100,-0.25871314690553504,-0.30699013115541207,-0.017113045405608495,-0.022296094991655243,1800,0.013731442790555232,0.036027537782210475,0.022296094991655243
price_momentum_20d,-0.4081200911841502,-0.5132538012364953,-0.017837880434870067,-0.036027537782210475,2100,-0.25871314690553504,-0.30699013115541207,-0.017113045405608495,-0.022296094991655243,1800,0.013731442790555232,0.036027537782210475,0.022296094991655243
momentum_rank,-0.40794991404064884,-0.5132538012364953,-0.018230052881982442,-0.036027537782210475,2100,-0.2306343024480421,-0.30699013115541207,-0.009689033786641078,-0.022296094991655243,1800,0.013731442790555232,0.036027537782210475,0.022296094991655243
momentum_reversal,-0.06347866047103856,-0.2765622446180386,-0.011101116877799294,-0.006640142641815997,2100,0.04030093542345907,-0.10258588544339795,0.017242198325942096,0.020193950237286908,1800,-0.01355380759547091,0.006640142641815997,0.020193950237286908
momentum_6m,-0.36356388434687137,-0.375043780705909,-0.01351182444267764,-0.02713858603193495,1980,-0.32720882794005546,-0.31268371527587735,-0.00623237330662895,-0.01592169427249414,1780,0.011216891759440812,0.02713858603193495,0.01592169427249414
volume_ratio,-0.16192204257375828,-0.12199788101177933,-0.006511890877463432,-0.0029290475330734224,2100,-0.01843521467845615,0.004675632377575951,-0.002291039718566024,0.0136186840740666,1800,-0.010689636540993178,0.0029290475330734224,0.0136186840740666
price_momentum_60d,-0.38491085287377375,-0.44335541704553627,-0.022467637865726642,-0.039493545196122165,2100,-0.31350615376042307,-0.32978140679519496,-0.02195706244426343,-0.030630916463056393,1800,0.008862628733065772,0.039493545196122165,0.030630916463056393
turnover,0.02396804370329251,-0.14780345239510884,0.0026779847669417883,-0.001513545635724317,2100,0.22991312347460172,-0.02111283388086555,-0.0007975026826118202,-0.010278018312567099,1800,-0.008764472676842782,0.001513545635724317,0.010278018312567099
ret_daily,-0.1491440468224827,-0.13346076328153156,-0.009029763894242055,-0.010741313770311189,2100,-0.07747714800782222,-0.06902315307145986,-0.004306927239900778,-0.003112659316394459,1800,0.007628654453916729,0.010741313770311189,0.003112659316394459
debt_ratio,-0.03725630710383955,-0.024135168300053886,0.004139127066214248,0.011399658705698382,2100,-0.08086128817596995,-0.08251262951877071,0.007462983542382852,0.017518636583828837,1800,-0.006118977878130455,0.011399658705698382,0.017518636583828837
net_income,0.19393270952196043,0.05486067868798407,0.008919407862604187,0.02705290931215668,2100,0.3390446672241455,0.10679693865849764,0.010423101970896862,0.02094881123141362,1800,0.00610409808074306,0.02705290931215668,0.02094881123141362
momentum_3m,-0.37451464347371294,-0.409264994015434,-0.02090009485682975,-0.03395141397543968,2070,-0.3555357890754049,-0.36019791962885334,-0.020843215609603314,-0.028962704649618885,1800,0.004988709325820795,0.03395141397543968,0.028962704649618885
debt_ratio_sector_z,-0.07222531968290694,-0.04928851494739137,0.004792809037728769,0.001614181513705436,2100,-0.08881086501632246,-0.10062439601490472,0.00992388484833775,0.0035964387914254087,1800,-0.0019822572777199727,0.001614181513705436,0.0035964387914254087
in_universe,0.0,1.1648177644506149e-16,0.0,1.1536516694383528e-16,0,0.0,-8.818118518524029e-18,0.0,-7.093827355013967e-18,0,1.0827133958882132e-16,1.1536516694383528e-16,7.093827355013967e-18
